demand_id,facility_id,distance_m,straight_line_m,detour_factor
129546,21545,21925.341401474816,17194.731794866046,1.2751197089344088
129547,23939,11693.54836998393,7893.270234209152,1.481458004478867
129548,34890,17254.510581238435,15436.449269188679,1.1177771701474526
129549,23939,25833.546128029964,23221.869103602872,1.1124662710299185
129550,23939,29928.666576940563,24152.23751395192,1.2391674502062924
129551,23939,42939.29517816828,34808.569631578524,1.2335840177475583
129552,34890,44035.65356221863,30974.557944035223,1.4216717359383197
129553,34890,39489.8808811701,29886.56485012604,1.3213255213237918
129554,618,15569.181245828053,15427.848865516047,1.0091608610859488
129555,23939,7641.012892473796,5742.010398238807,1.3307208386138505
129556,21545,18237.296495497663,16030.898159074344,1.1376341059951391
129557,23939,5180.939365188553,4619.217865929227,1.1216053270408641
129558,23939,2458.6651233281814,2246.531605890887,1.0944271235183314
129559,21545,9867.41420599698,9286.138285080488,1.0625960871001023
129560,21545,24319.86401403878,20186.77299636808,1.2047425320735665
129561,23939,9160.928884123992,5750.466934529515,1.593075656016012
129562,21545,10013.404133483195,9160.385816096847,1.0931203482595029
129563,23939,6374.523287816478,5104.561846261018,1.2487895102075566
129564,21545,8615.400047989522,7162.352320820841,1.202872975536919
129565,23939,6518.462317577376,5040.710372521427,1.2931634305179804
129566,21545,8221.0667644571,7245.287371281706,1.134677804091403
129567,23939,1891.333758728951,1599.5084030540265,1.1824469037597594
129568,23939,6661.639939843126,5344.391639671363,1.2464730111457107
129569,23939,644.4764801782911,589.4799618461643,1.0932966714591719
129570,23939,1472.9355384299215,1216.3158126630055,1.21098116385174
129571,23939,14339.283623350284,12384.489791779763,1.1578420963993221
129572,23939,16867.06846245203,14569.199848653745,1.1577209893246552
129573,23939,19577.753685772055,17199.782013722892,1.1382559191826904
129574,23939,21379.723520799234,18693.108522246683,1.143722216952585
129575,23939,15365.212431887394,11852.655765346397,1.296351867132652
129576,23939,22593.389411493932,18615.80533892286,1.2136670426099987
129577,23939,15365.212431887394,12026.59035874652,1.2776033749842333
129578,21545,10174.42055993754,9167.860793611353,1.109792217507012
129579,21545,11496.134315949539,9777.851070623876,1.1757321964626761
129581,34890,16691.937356406102,14895.116796214015,1.120631518689991
129582,23939,1395.1950079491126,1249.7362999033837,1.116391520400723
129583,23939,2206.848769409539,2016.975328800957,1.0941377110058441
129584,23939,7601.194536887655,6547.8994961221715,1.1608599889765063
129585,21545,13328.500675654652,10850.03761354353,1.228428983418213
129586,618,13774.802410720586,13176.951732300085,1.045370939392228
129587,618,14271.78737177099,12891.103311225372,1.107103637851024
129588,618,11290.299233139025,11339.120728285014,0.9956944196718706
129589,34890,15592.011216291503,12015.003940595092,1.2977117022501155
129590,34890,15544.734064814196,13252.045054635844,1.1730064303830843
129591,34890,16538.62960544507,13389.673210075118,1.235177987241728
129592,34890,15902.647215417375,13225.242708051313,1.2024465309612882
129593,34890,15491.855327299561,12662.175782560664,1.2234749851313984
129594,618,12635.863369514944,12425.658856891609,1.0169169711678308
129595,34890,13964.136088391144,12300.761730589324,1.1352253132149832
129596,618,11900.711970911882,10431.909811645797,1.1407989702543602
129597,21545,15864.486507876853,9221.166181690407,1.7204425335460773
129598,34890,12537.118703762675,11676.662334118178,1.073690267391763
129599,618,12843.869968100722,11609.1370164636,1.1063587198502418
129600,618,12078.335058364233,9328.92127114461,1.2947193686502494
129601,34890,11590.464459085344,11048.397720008275,1.0490629277488268
129602,618,10497.680321603952,10141.488572117261,1.03512223545427
129603,34890,11112.349730336204,10602.69870846064,1.048068047191502
129604,618,10753.460545633876,9477.970847884235,1.134574131765173
129605,618,12413.702993233737,10743.635061226816,1.1554471947799216
129606,34890,12593.882880035684,10488.063941096409,1.2007824276020895
129607,34890,12593.882880035684,10486.026519978983,1.2010157380434439
129608,618,10326.895779535616,9570.73014213836,1.0790081452686648
129609,34890,11628.370916446038,9785.501022360648,1.1883265751926535
129610,34890,11356.081578317251,9998.560862369843,1.1357716109981904
129611,34890,10299.299314118492,9738.73518252885,1.0575602602476846
129612,618,9907.513984289637,8950.389606655566,1.1069366161359442
129613,34890,11158.517363677682,8982.846420037678,1.2422028432754701
129614,618,10563.295649431795,8698.822179616413,1.2143363125854354
129615,34890,11416.218981402215,10009.583936132276,1.1405288226009387
129616,618,10383.906719677989,8577.72167451381,1.2105669912945216
129617,34890,10124.28888165567,9726.770843641782,1.0408684489851776
129618,618,10777.63327928631,8177.77688246932,1.3179172572426494
129619,34890,10715.23606314206,9140.046488920554,1.172339339425782
129620,34890,11416.218981402215,9929.403733950207,1.1497386235155642
129621,34890,11258.096146286442,9352.662920770743,1.2037316261322795
129622,618,11186.83222241846,10120.017045884731,1.1054163418595766
129623,34890,11015.505127307713,9535.363730936602,1.1552265270771926
129624,618,8860.852155171897,8007.29761533332,1.1065970794196645
129625,34890,9892.596729481656,8716.392383111783,1.1349416472632414
129626,34890,9731.791300036888,8914.414485286778,1.0916915873834663
129627,34890,9560.504361919266,8485.967900867463,1.1266250913984674
129628,34890,11437.164237593724,9021.132916445722,1.2678190581521667
129629,618,10121.26256495122,8897.287296179233,1.137567241343055
129630,34890,9134.54357899031,8299.765728165617,1.1005784835578958
